"10493","Calabrese Giovanni","M","ITA","Rowing"
"10494","Calafat Jordi","M","ESP","Sailing"
"10495","Calcaterra Alessandro","M","ITA","Water Polo"
"10496","Calcaterra Roberto","M","ITA","Water Polo"
"10497","Caldarella Paolo","M","ITA","Water Polo"
"10498","Caldeiras Hilma Aparecida","W","BRA","Volleyball"
"10499","Calderon Martinez Mercedes","W","CUB","Volleyball"
"10500","Caldes Miguel","M","CUB","Baseball"
"10501","Callens Els","W","BEL","Tennis"
"10502","Callus Ashley","M","AUS","Swimming"
"10503","Calub Dyana","W","AUS","Swimming"
"10504","Camilo Tiago","M","BRA","Judo"
"10505","Campagna Alessandro","M","ITA","Water Polo"
"10506","Campbell Christopher L","M","USA","Wrestling"
"10507","Campbell Darren","M","GBR","Athletics"
"10508","Campbell Veronica","W","JAM","Athletics"
"10509","Canizares Santiago","M","ESP","Football"
"10510","Cantagalli Luca","M","ITA","Volleyball"
"10511","Cao Mianying","W","CHN","Rowing"
"10512","Capdevila Juan","M","ESP","Football"
"10513","Capelle Christophe","M","FRA","Cycling"
"10514","Capellmann Nadine","W","GER","Equestrian"
"10515","Capriati Jennifer","W","USA","Tennis"
"10516","Carboncini Lorenzo","M","ITA","Rowing"
"10517","Carey Ashley","M","AUS","Hockey"
"10518","Carlen Per","M","SWE","Handball"
"10519","Carlescu Badea Laura Gabriela","W","ROU","Fencing"
"10520","Carlsen Agnete","W","NOR","Football"
"10521","Carlucci William","M","USA","Rowing"
"10522","Caron Stephan","M","FRA","Swimming"
"10523","Carruth Michael","M","IRL","Boxing"
"10524","Carruthers Lisa","W","AUS","Hockey"
"10525","Carter Vince","M","USA","Basketball"
"10526","Caruso Oliver","M","GER","Weightlifting"
"10527","Carvajal Magalys","W","CUB","Volleyball"
"10528","Carvalho Janelson","M","BRA","Volleyball"
"10529","Carver-Dias Claire","W","CAN","Synchronized Swimming"
"10530","Casamayor Jhonson Joel","M","CUB","Boxing"
"10531","Casartelli Fabio","M","ITA","Cycling"
"10532","Caserta Raffaello","M","ITA","Fencing"
"10533","Caslaru Beatrice","W","ROU","Swimming"
"10534","Castle Naomi","W","AUS","Water Polo"
"10535","Castro Danel","M","CUB","Baseball"
"10536","Cato Magnus","M","SWE","Handball"
"10537","Cauthen Terrance","M","USA","Boxing"
"10538","Cavallero Pablo Oscar","M","ARG","Football"
"10539","Cavar Patrik","M","CRO","Handball"
"10540","Cesar Jose Angel","M","CUB","Athletics"
"10541","Cha Jae-Kyung","W","KOR","Handball"
"10542","Chachkova Lioubov","W","RUS","Volleyball"
"10543","Chachua Akaki","M","GEO","Wrestling"
"10544","Chacon Pablo Julio","M","ARG","Boxing"
"10545","Chalamova Elena","W","RUS","Gymnastics"
